date,FU576330005.Q,FU575013005.Q,FU574090005.Q,FU573020005.Q,FU573030005.Q,FU573034005.Q,FU572051005.Q,FU574022005.Q,FU573069105.Q,FU573061105.Q,FU573061705.Q,FU573063005.Q,FU573065005.Q,FU573064105.Q,FU573064205.Q,FU573090005.Q,FU573095005.Q,FU573074005.Q,FU573073005.Q,FU573093005.Q,FU574190005.Q,FU574090045.Q,FU574090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,1,1379,20,0,0,0,249,0,49,0,200,22,0,0,1088,0,0,1179,-91,1380,1382,-3
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1,0,1518,30,0,0,0,251,0,51,0,200,20,0,0,1217,0,0,1017,200,1517,1345,173
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1,1,1364,30,0,0,0,249,0,49,0,200,20,0,0,1065,0,0,865,200,1364,1192,172
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1,1,1270,43,0,0,0,300,0,100,0,200,20,0,0,907,0,0,771,136,1270,1123,147
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1,2,1001,60,0,0,0,273,0,45,0,228,20,0,0,648,0,0,844,-196,1002,885,116
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1,2,4563,65,0,0,0,755,0,100,0,655,18,0,0,3725,0,0,3695,30,4564,4389,174
1952:Q1,0,0,1436,1,367,0,83,243,0,42,0,201,6,150,0,586,0,139,285,162,1436,1056,380
1952:Q2,0,0,1195,-9,14,0,3,243,0,-4,0,247,7,156,0,781,0,6,748,27,1195,1062,133
1952:Q3,0,0,1192,-9,15,0,4,277,0,-15,0,292,8,162,0,735,0,6,704,25,1192,1051,141
1952:Q4,0,0,1199,-2,15,0,3,336,0,11,0,325,8,175,0,664,0,9,640,15,1199,1041,158
1953:Q1,0,1,1327,9,16,0,1,348,0,34,0,314,10,179,0,764,0,7,747,10,1327,1166,161
1953:Q2,0,1,1373,18,17,0,2,342,0,54,0,288,11,186,0,797,0,8,789,0,1373,1211,162
1953:Q3,0,1,1415,19,17,0,0,312,0,53,0,259,11,197,0,859,0,7,851,1,1415,1254,161
1953:Q4,0,1,1457,10,17,0,1,272,0,16,18,238,11,216,0,930,0,9,921,0,1457,1298,159
1954:Q1,1,1,1248,2,19,0,2,277,0,16,-2,263,11,235,0,702,0,8,688,6,1248,1075,173
1954:Q2,1,1,1190,-5,19,0,2,292,0,-8,0,300,10,249,0,623,0,6,611,6,1190,1012,178
1954:Q3,1,1,1142,-5,20,0,2,333,0,3,-7,337,11,260,0,521,0,8,503,10,1142,947,195
1954:Q4,1,1,1109,-1,20,0,3,386,0,28,-2,360,14,272,0,415,0,11,386,18,1109,885,224
1955:Q1,0,1,1207,10,21,0,5,375,0,60,2,313,17,285,0,494,0,13,449,32,1208,957,250
1955:Q2,0,1,1239,18,23,0,7,362,0,104,2,256,19,322,0,488,0,22,431,35,1240,949,290
1955:Q3,0,1,1262,19,23,0,7,302,0,97,2,203,22,364,0,525,0,21,459,45,1263,940,322
1955:Q4,0,1,1261,11,24,0,7,216,0,36,6,174,25,404,0,574,0,15,507,52,1262,931,330
1956:Q1,1,1,1406,4,24,0,8,244,0,-23,16,251,28,446,0,652,0,16,581,55,1407,1042,364
1956:Q2,1,1,1467,-2,26,0,10,300,0,-54,1,353,32,453,0,648,0,6,567,75,1468,1081,386
1956:Q3,1,1,1517,-3,27,0,8,393,0,-78,7,464,34,462,0,596,0,7,516,73,1518,1119,398
1956:Q4,1,1,1581,1,28,0,8,492,0,-66,4,554,34,486,0,532,0,15,466,51,1582,1158,423
