date,FU344090005.Q,FU343020033.Q,FU344022005.Q,FU343061105.Q,FU343061705.Q,FU343062033.Q,FU343063005.Q,FU343069005.Q,FU343064105.Q,FU343073045.Q,FU344090005.Q,FU344090045.Q,FU344090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4047,0,0,0,0,0,0,370,0,3677,4047,4047,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3946,0,0,0,0,0,0,823,0,3123,3946,3946,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,4061,0,0,0,0,0,0,823,0,3238,4061,4061,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4470,0,0,0,0,0,0,1040,0,3430,4470,4470,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4967,0,0,0,0,0,0,784,0,4183,4967,4967,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6409,0,0,0,0,0,0,710,0,5699,6409,6409,0
1952:Q1,1773,0,0,0,0,0,0,99,0,1674,1773,1773,0
1952:Q2,1932,0,0,0,0,0,0,386,0,1546,1932,1932,0
1952:Q3,1897,0,0,0,0,0,0,425,0,1472,1897,1897,0
1952:Q4,1917,0,0,0,0,0,0,48,0,1869,1917,1917,0
1953:Q1,1869,0,0,0,0,0,0,60,0,1809,1869,1869,0
1953:Q2,1958,0,0,0,0,0,0,333,0,1625,1958,1958,0
1953:Q3,1910,0,0,0,0,0,0,98,0,1812,1910,1910,0
1953:Q4,1901,0,0,0,0,0,0,39,0,1862,1901,1901,0
1954:Q1,1886,0,0,0,0,0,0,20,0,1866,1886,1886,0
1954:Q2,1983,0,0,0,0,0,0,312,0,1671,1983,1983,0
1954:Q3,1863,0,0,0,0,0,0,8,0,1855,1863,1863,0
1954:Q4,1940,0,0,0,0,0,0,78,0,1862,1940,1940,0
1955:Q1,1919,0,0,0,0,0,0,-12,0,1931,1919,1919,0
1955:Q2,2050,0,0,0,0,0,0,355,0,1695,2050,2050,0
1955:Q3,1977,0,0,0,0,0,0,273,0,1704,1977,1977,0
1955:Q4,1995,0,0,0,0,0,0,73,0,1922,1995,1995,0
1956:Q1,2049,0,0,0,0,0,0,13,0,2036,2049,2049,0
1956:Q2,2179,0,0,0,0,0,0,316,0,1863,2179,2179,0
1956:Q3,2107,0,0,0,0,0,0,541,0,1566,2107,2107,0
1956:Q4,2126,0,0,0,0,0,0,-7,0,2133,2126,2126,0
1957:Q1,2246,0,0,0,0,0,0,13,0,2233,2246,2246,0
1957:Q2,2395,0,0,0,0,0,0,300,0,2095,2395,2395,0
1957:Q3,2372,0,0,0,0,0,0,46,0,2326,2372,2372,0
1957:Q4,2432,0,0,0,0,0,0,76,0,2356,2432,2432,0
1958:Q1,2403,0,0,0,0,0,0,165,0,2238,2403,2403,0
1958:Q2,2499,0,0,0,0,0,0,348,0,2151,2499,2499,0
1958:Q3,2562,0,0,0,0,0,0,311,0,2251,2562,2562,0
1958:Q4,2470,0,0,0,0,0,0,110,0,2360,2470,2470,0
1959:Q1,2484,0,0,0,0,0,0,133,0,2351,2484,2484,0
1959:Q2,2597,0,0,0,0,0,0,385,0,2212,2597,2597,0
1959:Q3,2757,0,0,0,0,0,0,323,0,2434,2757,2757,0
1959:Q4,2510,0,0,0,0,0,0,43,0,2467,2510,2510,0
1960:Q1,2569,0,0,0,0,0,0,87,0,2482,2569,2569,0
1960:Q2,3011,0,0,0,0,0,0,685,0,2326,3011,3011,0
1960:Q3,2628,0,0,0,0,0,0,102,0,2526,2628,2628,0
1960:Q4,2627,0,0,0,0,0,0,52,0,2575,2627,2627,0
1961:Q1,2666,0,0,0,0,0,0,51,0,2615,2666,2666,0
1961:Q2,3154,0,0,0,0,0,0,786,0,2368,3154,3154,0
1961:Q3,2780,0,0,0,0,0,0,69,0,2711,2780,2780,0
1961:Q4,2772,0,0,0,0,0,0,10,0,2762,2772,2772,0
1962:Q1,2849,0,0,0,0,0,0,48,0,2801,2849,2849,0
1962:Q2,3373,0,0,0,0,0,0,854,0,2519,3373,3373,0
1962:Q3,2925,0,0,0,0,0,0,15,0,2910,2925,2925,0
1962:Q4,3004,0,0,0,0,0,0,76,0,2928,3004,3004,0
1963:Q1,3017,0,0,0,0,0,0,49,0,2968,3017,3017,0
1963:Q2,3584,0,0,0,0,0,0,952,0,2632,3584,3584,0
1963:Q3,3101,0,0,0,0,0,0,73,0,3028,3101,3101,0
1963:Q4,3172,0,0,0,0,0,0,87,0,3085,3172,3172,0
