1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,307637,185705,171607,14098,42594,9720,41198,44181,45380,39909,3727,1744,22304,21104,1200,23076,8825,7042,621,1162,14251,11763,1906,582,-1199,-2983,-2699,-284,3563,24745,1448,1160,873,287,0,400,307637,27746,9979,3440,1892,346910
1952:Q1,318522,196097,181006,15091,41692,10400,40026,42862,41590,35655,4031,1904,19528,18228,1300,22062,8432,6660,624,1148,13630,10767,2107,756,1272,-2836,-2543,-293,3817,26087,1241,1216,912,304,0,428,318522,28977,10554,3765,2001,359819
1952:Q2,320447,197426,182120,15306,42956,10665,38130,40823,39667,33481,4305,1881,18372,16976,1396,21295,8992,7236,680,1076,12303,9269,2229,805,1156,-2693,-2400,-293,3940,26918,1200,1203,896,307,0,409,320447,29317,10859,2426,2019,361031
1952:Q3,326977,201503,185952,15551,44746,10931,38071,40598,39898,33435,4548,1915,18308,16836,1472,21590,8900,7056,724,1120,12690,9543,2352,795,700,-2527,-2233,-294,4003,27334,1184,1186,876,310,0,387,326977,29713,11291,1703,1982,367701
1952:Q4,338500,209326,193466,15860,42762,11267,42432,44768,43972,37341,4779,1852,20220,18668,1552,23752,9084,7260,772,1052,14668,11413,2455,800,796,-2336,-2044,-292,4080,28145,1082,1183,868,315,0,387,338500,30162,11547,2543,1939,380812
1953:Q1,344488,213123,197069,16054,42950,11584,43340,45461,45893,39342,4679,1872,21284,19764,1520,24609,8764,6848,788,1128,15845,12730,2371,744,-432,-2121,-1832,-289,4278,28746,1146,1193,888,305,0,420,344488,30667,11830,2907,1908,387981
1953:Q2,347302,216209,200027,16182,42347,11894,42508,44438,46034,39383,4752,1899,21376,19836,1540,24658,9524,7440,868,1216,15134,12107,2344,683,-1596,-1930,-1641,-289,4421,29178,890,1197,884,313,0,438,347302,31140,12125,3236,2052,391750
1953:Q3,345594,216523,200146,16377,41217,12162,41311,43073,45077,38385,4959,1733,20876,19268,1608,24201,9400,7416,888,1096,14801,11701,2463,637,-2004,-1762,-1473,-289,4588,29319,1136,1150,836,314,0,460,345594,31582,12234,3569,1809,391171
1953:Q4,337974,215129,198715,16414,41557,12474,34016,35635,35591,28908,4996,1687,16240,14608,1632,19351,9228,7268,860,1100,10123,7032,2504,587,44,-1619,-1326,-293,4763,29161,694,1076,760,316,0,492,337974,31994,12386,5443,1828,385968
1954:Q1,339615,213112,196401,16711,42680,12797,36508,38007,38019,31143,5036,1840,16096,14320,1776,21923,9744,7572,848,1324,12179,9251,2412,516,-12,-1499,-1201,-298,5014,28681,664,954,612,342,0,533,339615,32374,12566,2792,2000,385346
1954:Q2,339907,212684,195957,16727,42099,13015,37848,39105,39141,32177,5107,1857,16612,14800,1812,22529,9172,7048,788,1336,13357,10329,2507,521,-36,-1257,-960,-297,5261,28812,1254,880,532,348,0,562,339907,32759,12931,2524,1998,386122
1954:Q3,343289,213224,196334,16890,42249,13144,39895,40789,41473,34464,5085,1924,17660,15844,1816,23813,9568,7424,760,1384,14245,11196,2509,540,-684,-894,-602,-292,5479,28744,908,882,532,350,0,580,343289,33151,13149,3446,2038,390996
1954:Q4,352200,217536,200360,17176,41993,13287,43590,43999,44539,37083,5227,2229,19024,17148,1876,25515,9748,7384,720,1644,15767,12551,2631,585,-540,-409,-129,-280,5691,29319,768,944,592,352,0,608,352200,33547,13443,2886,2343,399733
1955:Q1,364604,221895,204056,17839,43666,13333,48804,48607,49715,42191,5288,2236,21132,19460,1672,28583,10260,7984,708,1568,18323,14747,2908,668,-1108,197,461,-264,5821,30248,944,1101,732,369,0,680,364604,33951,13510,3431,2423,413074
1955:Q2,373957,228083,209851,18232,44271,13386,50106,49560,50444,42857,5348,2239,21380,19692,1688,29064,10396,8216,712,1468,18668,14949,2948,771,-884,546,801,-255,5965,31228,1061,1245,876,369,0,734,373957,34528,13650,1795,2398,421532
1955:Q3,381357,233910,215246,18664,44635,13441,50176,49539,51731,43988,5340,2403,21888,20216,1672,29843,11048,8704,756,1588,18795,15068,2912,815,-2192,637,892,-255,5915,31941,794,1370,1004,366,0,763,381357,35281,14034,1996,2447,430221
1955:Q4,387693,238391,219451,18940,44518,13527,51582,51111,53871,45976,5359,2536,22756,21092,1664,31115,11216,8756,768,1692,19899,16128,2927,844,-2760,471,734,-263,5933,32451,962,1472,1108,364,0,781,387693,36209,14395,1323,2527,437093
1956:Q1,391242,242828,223282,19546,44863,13595,49420,49373,52285,44166,5399,2720,21684,20084,1600,30601,11520,8880,804,1836,19081,15202,2995,884,-2912,47,326,-279,6231,33031,1068,1575,1160,415,0,767,391242,37312,14832,-788,2851,439745
1956:Q2,397011,247491,227501,19990,45251,13604,49642,49898,53542,45166,5616,2760,22096,20440,1656,31446,11580,8944,828,1808,19866,15782,3132,952,-3644,-256,35,-291,6359,33596,1321,1623,1208,415,0,766,397011,38352,15153,-1666,2838,446011
1956:Q3,401888,250420,229953,20467,46409,13682,49310,49747,50939,42232,5802,2905,20728,19024,1704,30211,11596,8868,864,1864,18615,14340,3234,1041,-1192,-437,-141,-296,6695,34597,1664,1674,1256,418,0,765,401888,39329,15490,-2579,2934,451191
1956:Q4,410084,256363,235367,20996,46753,13790,50214,50711,53735,44936,5899,2900,21856,20128,1728,31879,12032,9336,952,1744,19847,15472,3219,1156,-3024,-497,-200,-297,6721,35724,1971,1732,1316,416,0,758,410084,40244,15788,-3093,2560,460462
1957:Q1,416848,260222,238266,21956,46927,13871,51659,52094,54518,45544,5962,3012,22344,20436,1908,32174,12088,9288,1036,1764,20086,15820,3018,1248,-2424,-435,-143,-292,7513,36144,2034,1798,1376,422,0,748,416848,41096,16217,-1297,3085,469778
1957:Q2,418912,262057,239617,22440,47713,13970,50289,50731,52239,43089,5862,3288,21356,19496,1860,30883,12308,9148,1120,2040,18575,14445,2882,1248,-1508,-442,-150,-292,7714,36561,1968,1826,1404,422,0,750,418912,41902,16519,-1940,3367,472025
1957:Q3,422578,264724,241829,22895,48804,14080,49339,49858,51138,41859,6068,3211,20864,18948,1916,30274,12460,9232,1224,2004,17814,13679,2928,1207,-1280,-519,-220,-299,7840,37012,1846,1840,1412,428,0,785,422578,42659,16828,658,3233,479491
1957:Q4,415786,263301,240092,23209,47700,14291,45270,45934,46878,37912,6111,2855,18956,17044,1912,27922,12284,9236,1312,1736,15638,11632,2887,1119,-944,-664,-355,-309,7611,36746,1734,1828,1388,440,0,773,415786,43371,17077,1164,2534,474864
1958:Q1,409687,259767,236724,23043,50266,14572,39466,40344,40564,31654,6330,2580,16328,14032,2296,24236,12144,9232,1292,1620,12092,8390,2742,960,-220,-878,-554,-324,8097,36823,1852,1793,1308,485,0,755,409687,44035,17057,-606,2630,467541
1958:Q2,411601,259426,236276,23150,50326,14750,40608,41588,41276,32346,6382,2548,16676,14348,2328,24600,12248,9224,1280,1744,12352,8774,2774,804,312,-980,-645,-335,8710,37331,2034,1742,1260,482,0,742,411601,44651,17352,1071,2694,471978
1958:Q3,424480,267228,243837,23391,50123,14889,44759,45728,45972,37108,6360,2504,18908,16552,2356,27064,12136,9132,1208,1796,14928,11424,2796,708,-244,-969,-629,-340,9491,37795,2224,1671,1212,459,0,748,424480,45219,17724,1024,2605,485841
1958:Q4,437248,272263,248432,23831,49917,14976,50593,51438,52306,43114,6732,2460,21848,19324,2524,30458,11832,8872,1184,1776,18626,14918,3024,684,-868,-845,-504,-341,10576,38929,2380,1606,1180,426,0,768,437248,45739,18043,1112,2585,499556
1959:Q1,448269,279746,254011,25735,50082,14970,54266,54874,55502,46009,6992,2501,22796,20800,1996,32706,12788,9480,1524,1784,19918,15729,3472,717,-628,-608,-271,-337,8486,39770,1148,1604,1272,332,0,493,448269,46211,18253,181,2583,510329
1959:Q2,462360,286458,260556,25902,50340,15431,59067,59402,60398,50557,7301,2540,24952,22876,2076,35446,13236,9856,1660,1720,22210,17825,3565,820,-996,-335,-8,-327,9485,40292,928,1661,1320,341,0,554,462360,46642,18480,-2230,2600,522653
1959:Q3,459612,286926,260899,26027,50355,15783,54190,54217,54549,43832,7925,2792,22108,19904,2204,32441,13772,9944,1932,1896,18669,13984,3789,896,-332,-27,283,-310,9531,41722,1088,1672,1340,332,0,521,459612,47034,18756,2464,2830,525033
1959:Q4,464843,290187,263902,26285,50606,16043,54534,54216,53368,42115,8214,3039,21408,19148,2260,31960,14128,9984,2096,2048,17832,12983,3858,991,848,318,604,-286,9812,42424,1068,1695,1356,339,0,610,464843,47385,19012,386,3030,528600
1960:Q1,478067,298735,270749,27986,49748,16227,58609,57910,58778,47264,8454,3060,24164,21432,2732,34614,14112,10324,1900,1888,20502,15508,3822,1172,-868,699,954,-255,9799,43696,1024,1731,1332,399,0,546,478067,47696,19289,525,2927,542649
1960:Q2,478810,301716,273398,28318,50715,16379,54796,53824,54428,42763,8497,3168,22116,19368,2748,32312,14196,10340,1900,1956,18116,13055,3849,1212,-604,972,1202,-230,9862,44347,1280,1728,1308,420,0,547,478810,48025,19563,-2316,3004,541078
1960:Q3,480248,302573,273964,28609,50871,16542,53807,52671,52155,40714,8365,3076,21132,18412,2720,31023,14428,10696,1864,1868,16595,11606,3781,1208,516,1136,1349,-213,10507,44861,1048,1739,1300,439,0,396,480248,48373,19832,316,3164,545604
1960:Q4,478467,302104,273308,28796,51020,16703,51506,50314,50050,38393,8413,3244,20128,17356,2772,29922,14316,10460,1744,2112,15606,10577,3897,1132,264,1192,1395,-203,10934,45284,1232,1770,1308,462,0,378,478467,48739,20087,-3739,3356,540197
1961:Q1,480301,303112,273789,29323,52327,16918,50242,49103,49179,37241,8550,3388,19956,17096,2860,29223,14264,10256,1636,2372,14959,9889,4054,1016,-76,1139,1339,-200,11340,45776,1572,1851,1320,531,0,307,480301,49124,20372,-1203,3576,545017
1961:Q2,489937,307313,277633,29680,52646,17084,54482,53111,52095,40661,8257,3177,21424,18660,2764,30671,14308,10464,1624,2220,16363,11537,3869,957,1016,1371,1562,-191,11851,46463,2008,1870,1340,530,0,236,489937,49541,20643,-1174,3400,555546
1961:Q3,499689,312320,282252,30068,53325,17286,57243,55357,55033,43463,8226,3344,22716,19964,2752,32317,14608,10536,1600,2472,17709,12963,3874,872,324,1886,2065,-179,12205,47256,2172,1915,1368,547,0,311,499689,49991,20970,516,3502,567664
1961:Q4,514227,318939,288403,30536,54494,17512,61816,59131,59311,47677,8278,3356,24716,21956,2760,34595,15172,11048,1608,2516,19423,14673,3910,840,-180,2685,2846,-161,12927,48377,2304,1968,1416,552,0,498,514227,50472,21304,-1793,3597,580613
1962:Q1,523402,325482,293276,32206,55324,17739,62551,58784,58340,46562,8406,3372,23144,20488,2656,35196,15324,11392,1576,2356,19872,14682,4174,1016,444,3767,3906,-139,12734,49396,2284,2034,1480,554,0,426,523402,50987,21715,1511,3601,594014
1962:Q2,530535,331427,298747,32680,54966,17950,62521,57902,58026,45729,8673,3624,22860,20128,2732,35166,15792,11680,1540,2572,19374,13921,4401,1052,-124,4619,4746,-127,13697,49906,2384,2091,1532,559,0,361,530535,51514,22015,297,3992,600367
1962:Q3,536928,334241,301175,33066,54888,18150,64244,59005,59757,47292,8749,3716,23552,20796,2756,36205,15992,11880,1556,2556,20213,14616,4437,1160,-752,5239,5367,-128,14175,50888,2216,2146,1572,574,0,412,536928,52056,22493,1602,4051,609026
1962:Q4,544923,337658,304234,33424,55760,18343,66857,61230,60694,47764,8554,4376,23628,20952,2676,37066,16196,11408,1588,3200,20870,15404,4290,1176,536,5627,5769,-142,14587,51338,2208,2197,1612,585,0,391,544923,52612,22997,-3523,4730,612281
1963:Q1,551840,342654,307962,34692,55974,18542,67196,61412,60428,47875,8410,4143,23720,20924,2796,36708,16596,12056,1788,2752,20112,14895,3826,1391,984,5784,5950,-166,14346,52005,2032,2438,1796,642,0,717,551840,53182,23336,-2178,4507,621672
