1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q3,287857,68697,3665,0,0,704,64328,210314,7377,16847,9558,176532,5130,2211,2919,3654,62,287857,149091,69630,45449,24181,11155,11289,10156,1560,1502,3093,0,270,239,2721,0,771,0,20790,12473,8317,15746
1974:Q4,311687,71897,3298,0,0,523,68076,230361,4804,18611,10637,196309,5662,2831,2831,3703,64,311687,157533,71516,47772,23744,8254,13150,10998,1581,1998,3366,0,254,284,2763,0,752,0,22722,13991,8731,27514
1975:Q1,290899,72055,3860,0,0,602,67593,210471,3945,17275,9117,180134,4427,2457,1970,3878,68,290899,144896,75945,52231,23714,8945,11930,10746,1412,1613,3626,0,317,234,2804,0,740,0,21020,12176,8844,17417
1975:Q2,311273,77693,6137,0,0,454,71102,223065,3110,18217,9895,191843,6387,2768,3619,4056,72,311273,154820,78080,54311,23769,11293,12963,11053,1455,1546,3915,0,332,230,2845,0,730,0,22297,13117,9180,20767
1975:Q3,306694,78461,7605,0,0,306,70550,218815,3175,16652,9677,189311,5096,2781,2315,4248,74,306694,157040,77573,53584,23989,12848,11473,11118,1527,1294,4183,0,296,204,2885,0,729,0,22187,12764,9423,14455
1975:Q4,331096,82606,7768,0,0,484,74354,237731,3112,18726,10178,205715,6238,3013,3225,4445,76,331096,158857,82597,58272,24325,11153,13626,12223,1681,1924,4400,0,275,281,2924,0,738,0,23606,13675,9931,29034
1976:Q1,313780,82323,7668,0,0,396,74259,220542,2378,15971,9721,192472,6355,2816,3539,4427,133,313780,154281,83028,58428,24600,10233,10936,11813,1486,1295,4617,0,265,285,2962,0,903,0,23104,12933,10171,20385
1976:Q2,332432,89878,12452,0,0,561,76865,231168,4626,17336,9892,199314,6800,3122,3678,4406,180,332432,160004,84024,59066,24958,17935,12336,12299,1615,1420,4704,0,285,265,2999,0,1011,0,24218,13575,10643,21616
1976:Q3,329121,90518,12716,0,0,535,77267,226822,5678,16520,10630,193994,6993,3147,3846,4557,231,329121,161997,84033,58507,25526,19881,11514,11910,1739,1081,4619,0,254,217,3036,0,964,0,25197,14312,10885,14589
1976:Q4,356209,93234,10853,0,0,647,81734,249377,3023,17715,11857,216782,8605,4366,4239,4710,283,356209,169708,89238,62967,26271,14990,12666,12708,1910,1697,4510,0,266,235,3072,0,1018,0,28120,16870,11250,28779
1977:Q1,338423,89932,8240,0,0,451,81241,235645,3426,16300,11159,204760,7786,3621,4165,4698,362,338423,169573,85387,58578,26809,11898,11196,11879,1765,956,4499,0,236,234,3107,0,1082,0,26587,15231,11356,21903
1977:Q2,356834,100159,15623,0,0,611,83925,242874,2820,17825,11425,210804,8705,3735,4970,4638,458,356834,172912,88119,60714,27405,19148,12684,12377,1895,1119,4567,0,300,224,3142,0,1130,0,27619,15771,11848,23975
1977:Q3,361938,103220,16174,0,0,565,86481,242463,5294,16800,11215,209154,11130,4047,7083,4572,553,361938,180829,88590,60460,28130,21995,11626,12599,1828,1232,4694,0,320,272,3176,0,1077,0,27984,15827,12157,18315
1977:Q4,386279,98013,7506,0,0,618,89889,271467,7315,18948,13533,231671,11624,5119,6505,4537,638,386279,184665,95671,66717,28954,14626,13740,13730,2183,1883,4835,0,280,304,3209,0,1036,0,31971,19270,12701,31876
1978:Q1,359949,96433,5098,0,0,572,90763,247153,3560,16700,12529,214364,11098,4557,6541,4518,747,359949,184363,89681,59929,29752,9099,11463,12702,1678,1123,4944,0,332,264,3241,0,1120,0,30636,17658,12978,22005
1978:Q2,386993,106871,11951,0,0,537,94383,262900,7960,18210,12855,223875,11832,4302,7530,4488,902,386993,191103,92908,62348,30560,20073,12958,13196,1821,1285,5031,0,387,298,3272,0,1102,0,31233,17694,13539,25522
1978:Q3,393217,112911,16949,0,0,445,95517,262455,7941,17121,12186,225207,12375,4242,8133,4496,980,393217,198214,94641,63256,31385,25109,11900,13785,2219,1178,5119,0,419,248,3303,0,1299,0,30920,16873,14047,18648
1978:Q4,418994,104272,4436,0,0,674,99162,294969,14075,18978,13485,248431,14083,4863,9220,4591,1079,418994,201337,105242,73015,32227,18652,13812,14920,2602,1857,5184,0,385,334,3333,0,1225,0,33962,19022,14940,31069
1979:Q1,387756,106382,6111,0,0,552,99719,261346,4163,16540,11527,229116,14066,4616,9450,4794,1168,387756,195195,103552,70571,32981,10436,11426,13697,2125,869,5207,0,459,301,3362,0,1374,0,31661,16695,14966,21789
1979:Q2,415798,107505,3661,0,0,571,103273,285789,16276,17630,13274,238609,16046,5478,10568,5121,1337,415798,206801,102495,68771,33724,20826,12545,14606,2453,1212,5189,0,479,356,3391,0,1526,0,34805,19323,15482,23720
1979:Q3,430624,112417,6826,0,0,473,105118,296562,19862,16775,14334,245591,14753,5224,9529,5451,1441,430624,220038,103192,68762,34430,27081,11701,14774,2581,842,5142,0,484,370,3419,0,1936,0,36127,20031,16096,17711
1979:Q4,455847,112468,4569,0,0,785,107114,321421,14475,18697,17041,271208,14840,5619,9221,5662,1456,455847,221039,114183,79073,35110,19183,13611,16725,2852,2095,5055,0,566,506,3446,0,2205,0,40087,23445,16642,31019
1980:Q1,425256,111163,2920,0,0,572,107671,296218,8099,16399,16462,255258,10391,5781,4610,5770,1714,425256,211672,112534,76665,35869,11623,11297,16304,3105,1063,4919,0,616,482,3472,0,2647,0,39903,22815,17088,21923
1980:Q2,447411,115561,3728,0,0,814,111019,310537,13026,17750,19375,260386,13601,5915,7686,5791,1921,447411,216035,114969,78363,36606,17428,12643,16818,3026,1733,4721,0,664,466,3497,0,2711,0,44313,26104,18209,25205
1980:Q3,462161,117688,4568,0,0,545,112575,321658,19090,16716,16177,269675,14716,5889,8827,5783,2316,462161,234910,116250,78961,37289,25115,11602,16010,2985,1196,4447,0,589,366,3522,0,2905,0,40989,22611,18378,17285
1980:Q4,477520,121471,3499,0,0,543,117429,333212,11917,18166,16873,286256,13749,6046,7703,5800,3288,477520,238699,116601,78660,37941,16176,13041,17431,2947,2643,4162,0,603,533,3546,0,2997,0,42877,23462,19415,32695
1981:Q1,462785,120674,3526,0,0,528,116620,319905,10219,15493,15171,279022,12950,5496,7454,5832,3424,462785,241672,111455,73026,38429,19813,10357,16359,2976,1765,3931,0,784,384,3569,0,2950,0,41101,21195,19906,22028
1981:Q2,477238,123372,3401,0,0,468,119503,331862,17006,16664,17207,280985,12487,5500,6987,5864,3653,477238,249611,107732,68773,38959,17720,11522,16139,3003,1984,3740,0,716,384,3592,0,2720,0,43523,23175,20348,30991
1981:Q3,479367,123780,3977,0,0,501,119302,334520,19560,15300,16985,282675,11456,6103,5353,5895,3716,479367,259581,104000,64426,39574,23978,10155,17093,3019,2557,3571,0,743,450,3614,0,3139,0,43818,23589,20229,20742
1981:Q4,505546,132354,4745,0,0,684,126925,355783,10803,16735,13851,314394,7605,5142,2463,5923,3881,505546,284890,97936,57674,40262,17367,11588,17382,2982,3161,3426,0,624,710,3635,0,2844,0,40651,19677,20974,35732
1982:Q1,482718,129843,3350,0,0,552,125941,336630,12869,14648,11852,297261,6116,3773,2343,5964,4165,482718,278757,94473,53891,40582,18910,9498,15040,3097,794,2924,0,652,521,3654,0,3398,0,36708,16177,20531,29332
1982:Q2,488607,133300,4559,0,0,731,128010,338352,11355,15924,12330,298743,6343,4212,2131,6033,4579,488607,280294,94843,53690,41153,17130,10768,15665,3057,1592,2818,0,760,491,3672,0,3275,0,39639,17273,22366,30268
1982:Q3,513263,141917,11398,0,0,512,130007,354855,20841,14659,11465,307890,5506,3441,2065,6070,4915,513263,293329,96587,54252,42335,34884,9514,16694,2964,1651,2569,0,836,427,3690,0,4557,0,38088,15418,22670,24167
1982:Q4,543309,142505,5462,0,0,435,136608,383151,16864,15564,11605,339118,5920,3977,1943,6014,5719,543309,305157,112027,68019,44008,24513,10390,18228,2774,3439,2259,0,981,560,3711,0,4504,0,39458,16017,23441,33536
1983:Q1,532288,142079,4070,0,0,587,137422,372480,14563,13827,12460,331630,5446,3453,1993,5858,6425,532288,310556,107905,61905,46000,20669,8626,15205,2402,1305,2113,0,1202,499,3732,0,3952,0,40345,16500,23845,28982
1983:Q2,564958,151251,9297,0,0,379,141575,394653,22160,15760,12958,343775,6271,3972,2299,5593,7190,564958,317506,116583,68535,48048,33178,10543,15577,2204,1778,2246,0,1226,356,3754,0,4013,0,42378,17309,25069,29193
1983:Q3,574391,162901,17025,0,0,487,145389,392801,22836,13628,12270,344067,5751,3696,2055,5311,7627,574391,317164,123739,73516,50223,41761,8395,14654,1744,1344,2585,0,1161,623,3776,0,3421,0,42508,16453,26055,26170
1983:Q4,582771,155497,4124,0,0,461,150912,407926,11521,15365,12974,368066,6252,4164,2088,5100,7996,582771,315392,142066,89573,52493,16444,10129,16046,1183,2527,2729,0,1400,765,3801,0,3641,0,45145,17599,27546,37549
1984:Q1,578279,156075,4187,0,0,509,151379,402862,13040,17411,12705,359706,6159,4304,1855,4940,8243,578279,300197,155909,102485,53424,18381,12166,15050,1087,1248,3076,0,1623,764,3526,0,3726,0,45042,17518,27524,31534
1984:Q2,590311,162304,4920,0,0,412,156972,408074,12040,19989,12910,363135,6349,4464,1885,4800,8784,590311,307729,151707,97238,54469,18636,14730,16726,1898,1843,3479,0,1790,663,3528,0,3525,0,46736,17786,28950,34047
1984:Q3,597123,166331,8979,0,0,386,156966,411224,24718,17939,12968,355599,5590,3946,1644,4697,9281,597123,306037,152576,96723,55853,34521,12672,16377,1649,1189,3466,0,2003,952,3630,0,3488,0,46640,17300,29340,28300
1984:Q4,629686,165774,5829,0,0,422,159523,444553,15546,21033,15956,392018,5218,3321,1897,4646,9495,629686,327378,160237,102698,57539,21828,15759,18803,1713,3059,3297,0,1999,1346,3485,0,3904,0,49641,19699,29942,36040
1985:Q1,602283,165124,3617,0,0,394,161113,416871,13639,18607,14054,370571,5494,3751,1743,4659,10135,602283,321737,150217,90366,59851,17379,13326,18144,2319,1519,3536,0,2339,944,3550,0,3937,0,48382,18199,30183,33098
1985:Q2,640411,171332,3876,0,0,439,167017,447412,24004,22284,15046,386078,5747,4020,1727,4738,11182,640411,332403,158964,96506,62458,27693,16995,19354,2338,1622,3781,0,2886,1147,3829,0,3751,0,50957,19505,31452,34045
1985:Q3,660608,171676,4720,0,0,724,166232,465396,16652,20653,15624,412467,6900,4663,2237,4845,11791,660608,344072,172773,107016,65757,21029,15356,22394,2949,2454,3821,0,2496,2008,4466,0,4200,0,53402,21011,32391,31582
1985:Q4,713479,182369,9901,0,0,540,171928,506200,25797,22487,15988,441928,7329,4663,2666,4940,12641,713479,338859,197485,125714,71771,33973,17182,32543,6519,7546,3281,0,2351,2129,4442,0,6275,0,54449,21191,33258,38988
1986:Q1,685385,176704,3897,511,0,338,171958,484419,11948,20252,15779,436440,6820,4164,2656,5042,12400,685385,351593,188505,115339,73166,14951,14939,30503,6872,6055,2821,0,2300,2106,4818,0,5531,0,53548,20281,33267,31346
1986:Q2,738507,181624,3744,450,0,370,177060,531450,25224,25619,16279,464328,8045,5100,2945,5169,12219,738507,385015,186128,112387,73741,26717,20299,31509,7416,6957,2431,0,2200,2450,4830,0,5225,0,55385,21749,33636,33454
1986:Q3,747563,187072,8006,663,0,382,178021,534945,28211,22296,16258,468180,7660,4793,2867,5286,12600,747563,403893,177915,103940,73975,33585,16969,34525,7915,7212,2106,0,2499,2662,5935,0,6196,0,55583,21433,34150,25093
1986:Q4,838882,195701,8015,917,0,424,186345,616533,27480,25697,18670,544686,8253,4781,3472,5359,13036,838882,456032,198348,123998,74350,32846,20364,40740,8751,9535,1902,0,3082,3657,5363,0,8450,0,59554,23875,35679,30998
1987:Q1,763926,190443,4094,577,0,466,185306,547123,8649,21760,17150,499564,7474,4382,3092,5386,13500,763926,420106,199534,124940,74594,10024,16421,37695,8802,7981,1787,0,3709,3065,5576,0,6775,0,57597,21998,35599,22549
1987:Q2,821170,206282,14266,458,0,346,191212,587761,30924,25295,17528,514014,7568,4725,2843,5365,14194,821170,432879,203844,129056,74788,42488,19951,37260,9421,7682,1707,0,4301,2366,5471,0,6312,0,59587,22599,36988,25161
1987:Q3,815533,202869,9580,419,0,507,192363,584989,32975,23251,15301,513462,7936,5146,2790,5339,14400,815533,437622,204158,129178,74980,37426,17902,38598,9906,8192,1652,0,4712,2093,6075,0,5968,0,58588,20954,37634,21239
1987:Q4,842856,212432,5759,1027,0,313,205333,602706,21644,26745,17225,537092,7647,4932,2715,5350,14721,842856,451128,208865,133651,75214,21410,21392,43270,10231,8796,1636,0,4844,3587,6728,0,7448,0,62015,22470,39545,34776
1988:Q1,820392,207930,2882,436,0,649,203963,584093,23520,23833,15989,520751,8175,5250,2925,5394,14800,820392,442335,205592,128805,76787,20996,23833,42257,8910,6593,1836,0,4852,3353,7057,0,9656,0,61529,21888,39641,23850
1988:Q2,861244,220898,10194,351,0,443,209910,611046,32559,28324,17162,533001,8979,5380,3599,5460,14861,861244,446878,213793,135592,78201,39514,28324,44423,8560,6514,2436,0,5095,3140,7727,0,10951,0,64482,22985,41497,23830
1988:Q3,856140,227590,13412,358,0,392,213428,599015,34154,26963,16162,521736,8715,4932,3783,5540,15280,856140,445683,212983,133955,79028,44806,26963,42765,7825,5610,3536,0,4736,3301,7585,0,10172,0,63815,21486,42329,19125
1988:Q4,885122,230061,9051,548,0,374,220088,625285,28979,29292,16640,550374,8662,4922,3740,5628,15486,885122,460921,225196,145405,79791,32118,29292,41824,6547,5491,4547,0,4410,3556,7883,0,9390,0,65592,21936,43656,30179
1989:Q1,827511,226332,4919,246,0,415,220752,571190,13513,24279,17187,516211,8444,4562,3882,5745,15800,827511,441356,218570,138197,80373,13572,24279,41044,7503,5262,5122,0,3685,3101,7559,0,8812,0,66575,22164,44411,22115
1989:Q2,864682,239477,12627,156,0,288,226406,594639,34390,26850,15681,517718,8531,4937,3594,5914,16121,864682,437556,220105,139884,80221,42937,26850,44405,8539,6039,5072,0,3593,3400,8031,0,9731,0,67208,20906,46302,25621
1989:Q3,852261,238925,13892,209,0,366,224458,581563,30278,25683,16278,509324,9250,4887,4363,6053,16470,852261,434827,221388,141324,80064,36747,25683,44603,9700,6706,4697,0,3298,3169,8284,0,8749,0,67491,21531,45960,21522
1989:Q4,892152,240285,6672,1222,0,607,231784,620587,25582,28408,16703,549894,8389,4795,3594,6079,16812,892152,451978,234901,153925,80976,25570,28408,53019,14413,10584,4141,0,3171,2284,8668,0,9758,0,69510,22105,47405,28766
1990:Q1,853528,240341,5372,241,0,302,234426,580632,16719,25562,14860,523491,8993,5376,3617,5987,17575,853528,437567,226143,144236,81907,15129,25562,52234,13084,10862,3666,0,3790,2055,8632,0,10145,0,70890,20538,50352,26003
1990:Q2,886964,249320,6050,183,0,382,242705,604933,32072,27913,14910,530038,8595,5125,3470,5771,18345,886964,446238,226576,144172,82404,31113,27913,49389,12063,9670,3266,0,4318,2234,9112,0,8726,0,74822,20417,54405,30913
1990:Q3,889638,255984,8165,235,0,437,247147,600576,36595,27071,16418,520492,9212,5313,3899,5536,18330,889638,445940,222158,138790,83368,33389,27071,48523,10091,7851,3416,0,4716,2112,9458,0,10879,0,81463,22168,59295,31094
1990:Q4,934740,264446,9521,162,0,390,254373,637848,30919,28934,16307,561688,8744,5098,3646,5381,18321,934740,462874,242365,159167,83198,25417,28934,43801,7470,5810,3311,0,4974,2109,9879,0,10248,0,85786,21795,63991,45563
1991:Q1,906410,273881,11545,124,0,236,261976,599509,26325,26123,14953,532108,8285,5161,3124,5285,19450,906410,473866,210377,126388,83989,32672,26123,41507,6284,5163,3226,0,4366,1955,10345,0,10168,0,88384,20350,68034,33481
1991:Q2,934262,278743,12435,141,0,234,265933,621697,36038,30146,13506,542007,8047,5134,2913,5213,20562,934262,475773,218448,133193,85255,40223,30146,41424,5914,5261,3141,0,4640,1855,10019,0,10594,0,88446,18874,69572,39802
1991:Q3,948302,273892,8535,213,0,392,264752,640117,38534,30325,14497,556761,8561,5087,3474,5182,20550,948302,481127,229880,145376,84504,27232,30325,39104,5537,5542,3056,0,3038,1753,11107,0,9071,0,93086,19976,73110,47548
1991:Q4,1022519,295097,18333,1626,0,985,274153,692726,36414,34239,14103,607970,8946,5306,3640,5203,20547,1022519,510219,249822,164495,85327,50916,34239,41227,5334,5560,2965,0,3807,1205,12165,0,10191,0,97198,20394,76804,38898
1992:Q1,993288,281986,7557,175,0,384,273870,676366,16693,32176,13330,614167,8037,5646,2391,5299,21600,993288,523488,242201,154598,87603,23391,32176,40988,5298,5532,2917,0,3960,1269,12036,0,9976,0,96597,19360,77237,34447
1992:Q2,1034709,295878,14242,165,0,233,281238,702599,36104,34152,15174,617169,8109,5597,2512,5479,22644,1034709,531345,242356,153585,88771,48971,34152,40972,5409,5415,2909,0,4435,1009,11482,0,10313,0,98769,21004,77765,38144
1992:Q3,1073175,313607,25113,216,0,554,287724,721695,38203,35542,16228,631722,8399,5763,2636,5674,23800,1073175,554845,242431,151780,90651,59309,35542,43755,5544,5190,2904,0,6409,927,12130,0,10651,0,105872,22545,83327,31421
1992:Q4,1134667,311315,8000,247,0,237,302831,784151,30552,38125,15839,699635,8320,5825,2495,5816,25065,1134667,618130,249374,158671,90703,31741,38125,44052,5576,4923,2919,0,6515,1196,12556,0,10367,0,109791,21901,87890,43454
1993:Q1,1089339,310062,7267,212,0,327,302256,740062,18750,36491,15599,669222,8340,5592,2748,5925,24950,1089339,594584,244283,152194,92089,22661,36491,44768,5525,5022,2953,0,5836,1011,13335,0,11086,0,111840,21518,90322,34712
1993:Q2,1168153,341203,28818,183,0,294,311908,787521,36516,39106,15031,696868,8534,6092,2442,6022,24873,1168153,614344,250779,158090,92689,61834,39106,45179,5405,5121,2978,0,6129,851,13823,0,10872,0,117200,21417,95783,39711
1993:Q3,1182084,338171,17673,200,0,508,319790,802828,38426,39192,18861,706349,9192,6082,3110,6093,25800,1182084,639638,247207,154034,93173,53892,39192,44705,5275,5221,2995,0,5460,1303,13444,0,11007,0,126907,25451,101456,30543
1993:Q4,1251981,348467,15186,285,0,396,332600,862283,42633,40180,15563,763907,8347,5684,2663,6125,26759,1251981,671846,271953,178018,93935,52188,40180,48659,5189,5320,3055,0,6619,2123,14072,0,12281,0,126151,21643,104508,41004
1994:Q1,1220704,344814,6551,210,0,460,337593,833900,39780,40120,16730,737270,8805,5460,3345,6135,27050,1220704,648600,272810,175081,97729,45982,40120,50089,5145,5426,3184,0,5476,1720,14225,0,14913,0,131866,22650,109216,31237
1994:Q2,1229478,358228,9709,177,0,615,347727,828611,42889,41198,16974,727550,8605,5583,3022,6203,27831,1229478,638709,275316,175125,100191,51684,41198,50152,5101,5534,3362,0,5794,1579,14601,0,14181,0,138125,23172,114953,34294
1994:Q3,1205718,362183,7211,215,0,347,354410,800467,30383,38874,17612,713598,8701,5550,3151,6167,28200,1205718,628554,281599,177254,104345,36394,38874,51400,5057,5639,3541,0,7137,1649,14918,0,13459,0,142467,23509,118958,26430
1994:Q4,1240202,374238,7496,772,0,256,365714,822168,23751,42086,17141,739190,8768,6063,2705,6233,28795,1240202,643567,291787,185515,106272,27819,42086,50343,5013,5746,3988,0,6737,1337,15500,0,12022,0,148553,23460,125093,36047
1995:Q1,1191644,375906,4904,290,0,380,370332,772351,15634,39275,17038,700404,8135,5608,2527,5852,29400,1191644,623629,275210,163852,111358,16328,39275,51641,4973,5630,4200,0,5139,1276,16433,0,13990,0,153446,23026,130420,32115
1995:Q2,1239798,398487,21296,131,0,182,376878,797003,39731,41930,16845,698497,7933,5299,2634,6215,30160,1239798,628300,273121,159423,113698,59027,41930,51232,4932,5515,4414,0,4687,1603,16811,0,13270,0,153882,22326,131556,32306
1995:Q3,1188685,385573,8942,218,0,219,376194,758483,30307,40797,18105,669274,8138,5454,2684,5991,30500,1188685,594636,282774,165359,117415,38689,40797,52897,4892,5401,4629,0,5145,1098,16944,0,14788,0,156367,23778,132589,22525
1995:Q4,1211356,391153,6249,818,0,404,383682,774238,19003,42911,18136,694188,8659,5982,2677,6416,30890,1211356,597298,307886,188079,119807,22173,42911,50767,4851,5286,4853,0,4207,1512,16309,0,13749,0,158455,24522,133933,31866
1996:Q1,1158169,389673,7335,234,0,210,381894,722707,16832,38790,17679,649406,8564,5539,3025,6225,31000,1158169,583558,283139,158999,124140,24179,38790,50275,4811,5054,5076,0,4772,1064,16574,0,12924,0,154050,23428,130622,24178
1996:Q2,1181293,397507,7981,223,0,191,389112,735984,31360,40174,20864,643586,8727,6296,2431,6474,32601,1181293,565312,295566,164724,130842,42763,40174,52720,3756,4933,5297,0,5883,711,16813,0,15327,0,161720,27351,134369,23038
1996:Q3,1183701,400670,7986,269,0,270,392145,735959,37794,38334,19801,640030,7988,5507,2481,6545,32539,1183701,548099,311962,177224,134738,47479,38334,55266,4089,4808,5521,0,7186,605,17517,240,15300,0,166489,25578,140911,16072
1996:Q4,1200366,414419,7991,785,0,181,405462,738569,28684,40623,21597,647665,7998,5330,2668,6904,32476,1200366,537853,328285,189301,138984,38314,40623,56978,3938,4381,5519,0,7466,780,18953,290,15651,0,175192,27108,148084,23121
1997:Q1,1167428,414807,6258,247,0,926,407376,703602,24028,38042,21579,619953,8001,5244,2757,6819,34199,1167428,511103,334820,191362,143458,39963,38042,54431,4233,3496,6059,0,5353,1170,18976,384,14760,0,178559,27749,150810,10510
1997:Q2,1204302,432273,16711,211,0,195,415156,720858,34243,40620,23520,622475,8857,5904,2953,6993,35321,1204302,506107,334222,184566,149656,57758,40620,65127,4062,4062,6339,0,8820,3250,20144,372,18078,0,184754,29619,155135,15714
1997:Q3,1163917,428099,7947,288,0,193,419671,684114,33511,40639,22675,587289,8255,5538,2717,6705,36744,1163917,472479,343454,188636,154818,49307,40639,62204,4168,3678,7165,0,6505,2190,19050,497,18951,0,189503,28406,161097,6331
1997:Q4,1209189,444255,5669,799,0,464,437323,712190,27779,42856,26002,615553,8817,5712,3105,7327,36600,1209189,501800,340114,178778,161336,41582,42856,67418,4235,8219,6889,0,5314,2097,18554,428,21682,0,202687,32178,170509,12732
1998:Q1,1172525,443370,5755,255,0,177,437183,672799,21691,39288,25730,586090,8303,5762,2541,7453,40600,1172525,466873,353365,191770,161595,37857,39288,67355,3709,3490,6562,0,6666,1797,19610,594,24927,0,202119,31669,170450,5668
1998:Q2,1224691,464140,18344,198,0,211,445387,705301,48510,41910,24658,590223,8842,5746,3096,7670,38738,1224691,471815,355005,192645,162360,82928,41910,67417,3594,4774,6221,0,7610,2238,20116,629,22235,0,202898,30615,172283,2718
1998:Q3,1176771,460698,5044,254,0,357,455043,662311,30036,39920,22436,569919,8323,5681,2642,7751,37688,1176771,461071,353745,189102,164643,47053,39920,69350,3801,4336,5875,0,7749,2501,18653,501,25934,0,207264,28474,178790,-1633
1998:Q4,1220288,483276,6171,1501,0,177,475427,676861,13157,43613,23220,596871,8584,5420,3164,8530,43037,1220288,519874,330666,163220,167446,23186,43613,75862,4014,5347,6025,0,9973,4952,19644,529,25378,0,213173,28817,184356,13914
1999:Q1,1185829,485022,5509,98,0,180,479235,641153,16418,40336,21272,563127,8882,5692,3190,7872,42900,1185829,508075,320454,154251,166203,29145,40336,68564,3219,2512,5756,0,7600,3289,21241,488,24459,0,212974,27144,185830,6281
1999:Q2,1218494,498806,6810,96,0,425,491475,660373,42043,41901,22196,554233,7865,5297,2568,8392,43058,1218494,479760,339321,173087,166234,61206,41901,75811,3661,3813,6184,0,9450,2727,21855,480,27641,0,216156,27918,188238,4339
1999:Q3,1209667,510133,6734,62,0,256,503081,640392,46016,41929,22101,530346,8148,5240,2908,8094,42900,1209667,463880,347475,178700,168775,62916,41929,74816,3145,3693,6514,0,9370,3175,21619,566,26734,0,219734,27597,192137,-1083
1999:Q4,1332283,591523,28511,1123,0,85,561804,677727,49561,46776,22689,558701,9138,5975,3163,8530,45365,1332283,498472,365348,192794,172554,87921,46776,89132,4652,5232,7398,0,9225,12107,21152,655,28711,0,237512,28749,208763,7122
2000:Q1,1228081,532743,4531,61,0,138,528013,627602,37503,43631,23218,523250,8250,5505,2745,8186,51300,1228081,463109,360152,180475,179677,48487,43631,77237,3553,3804,7744,0,11100,1055,21529,541,27117,794,229047,28861,200186,6417
2000:Q2,1234690,540601,6284,76,0,118,534123,626142,48693,44820,23806,508823,9321,6084,3237,8191,50435,1234690,426576,380650,196362,184288,60162,44820,81351,3154,5465,8339,0,12778,1596,21816,440,26969,794,230188,30008,200180,10943
2000:Q3,1199808,542964,8643,51,0,152,534118,589780,39333,43020,26413,481014,8039,5087,2952,8125,50900,1199808,388598,404661,220774,183887,55735,43020,75478,3530,3444,9472,0,12556,1503,22878,520,20781,794,231468,31652,199816,849
2000:Q4,1218787,556380,5599,1249,0,229,549303,593984,16384,47635,25052,504913,8740,5640,3100,8431,51252,1218787,397741,408679,227700,180979,24271,47635,89769,4170,4801,10707,0,9935,4412,23722,568,30329,1125,236327,30921,205406,14365
2001:Q1,1200749,556187,6135,116,0,83,549853,572712,23878,43639,23008,482187,8235,5464,2771,8415,55200,1200749,420939,350404,164208,186196,30666,43639,108390,11089,18033,9507,0,8313,4482,24256,631,30954,1125,234884,28555,206329,11826
2001:Q2,1231239,567388,7632,138,0,115,559503,592806,37699,47439,26686,480982,8072,2877,5195,8766,54207,1231239,397769,360070,169914,190156,48951,47439,127249,12333,24602,9648,0,13291,5239,23270,675,37066,1125,237780,29678,208102,11982
2001:Q3,1256533,586259,10218,63,0,622,575356,597433,36353,46638,26234,488208,8503,2767,5736,8766,55572,1256533,396284,356116,168264,187852,50562,46638,155600,14239,30253,9786,0,13369,8357,24147,597,53727,1125,247218,29623,217595,4115
2001:Q4,1360842,603808,7070,693,0,74,595971,681677,47459,53127,22592,558499,9095,3248,5847,11528,54734,1360842,475561,356335,174562,181773,66852,53127,149975,13733,37273,9898,0,11448,6667,23034,690,47120,112,255114,25914,229200,3878
2002:Q1,1263853,613400,6104,74,0,267,606955,577779,9510,52381,21407,494481,8094,2766,5328,11227,53353,1263853,414944,363017,180548,182469,25212,52381,148725,17635,35384,9904,0,12126,7212,22532,766,43054,112,257277,24440,232837,2298
2002:Q2,1302036,630049,8511,84,0,103,621351,590861,37122,54974,22119,476646,7456,2025,5431,13270,60400,1302036,407692,363386,180239,183147,53502,54974,150988,17910,34846,9972,0,10195,8561,23073,629,45690,112,264296,24247,240049,7198
2002:Q3,1327591,630739,8259,84,0,164,622232,617416,54582,54539,21744,486551,7543,2030,5513,12174,59719,1327591,409000,358607,174787,183820,77651,54539,170058,26319,44076,10054,0,10996,13181,24183,677,40460,112,265093,23938,241155,-7357
2002:Q4,1353096,645830,4787,1052,145,146,639700,627957,31065,59768,22302,514822,8444,2885,5559,10401,60464,1353096,451615,346087,161595,184492,47703,59768,170891,26671,35372,10118,0,13425,14756,25201,871,44217,260,273394,25333,248061,3638
2003:Q1,1336170,654871,7119,81,145,267,647259,596706,8528,57743,-434,530869,7951,2269,5682,10842,65800,1336170,445515,358530,172507,186023,23346,57743,193404,30958,44209,10180,0,15324,21107,26226,964,44176,260,253954,2102,251852,3678
2003:Q2,1393932,662208,7304,67,145,917,653775,643449,26680,59731,230,556808,9599,2572,7027,12014,66662,1393932,455085,378411,190869,187542,41852,59731,197973,37113,44901,10226,1,13531,19251,28155,956,43579,260,254033,3719,250314,6847
2003:Q3,1376553,665655,7565,87,145,96,657762,625406,29839,59668,-23,535922,9086,2279,6807,11342,65064,1376553,414055,400342,211277,189065,53292,59668,203511,36181,47391,10263,1,13335,20287,30386,1550,43857,260,254277,2352,251925,-8591
