date,FA263192305.Q,FA263192313.Q,FA263092313.Q,FA103092305.Q,FA763092305.Q,FA513092305.Q,FA543092375.Q,FA613092305.Q,FA663092305.Q,FA733092305.Q,FA103192305.Q,FA115114305.Q,FA753192305.Q,FA513192305.Q,FA543192375.Q,FA613192305.Q,FA663192305.Q,FA733192305.Q,FA503192305.Q,FA263092305.Q,FA263092323.Q,FA263192323.Q,FA263192005.Q,FA263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,28,ND,ND,10,2,4,6,3,3,0,-40,3,9,14,13,2,6,0,0,7,ND,ND,721,34
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,26,ND,ND,14,1,3,4,2,2,0,-19,2,5,10,7,1,6,0,0,12,ND,ND,660,56
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,24,ND,ND,6,3,3,6,2,4,0,-77,8,16,29,26,2,13,0,0,17,ND,ND,621,80
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,20,ND,ND,-2,3,4,6,5,4,0,-26,4,8,14,11,1,7,0,0,19,ND,ND,508,90
1952:Q1,60,ND,ND,60,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,48,ND,ND,1512,56
1952:Q2,92,ND,ND,92,0,0,0,0,0,0,56,4,0,0,0,0,4,0,0,64,ND,ND,2384,44
1952:Q3,48,ND,ND,44,0,4,0,0,0,0,36,0,4,0,4,0,0,0,0,44,ND,ND,1244,-88
1952:Q4,-68,ND,ND,-72,0,0,0,0,4,0,-44,-4,-4,0,4,0,0,0,0,-48,ND,ND,-1732,516
1953:Q1,60,ND,ND,60,0,0,0,0,0,0,68,4,4,4,0,0,0,0,0,80,ND,ND,1548,76
1953:Q2,68,ND,ND,64,0,0,0,4,0,0,24,0,4,0,0,0,4,0,0,32,ND,ND,1748,-180
1953:Q3,60,ND,ND,56,4,0,0,0,0,0,68,0,0,0,4,0,4,0,0,76,ND,ND,1524,44
1953:Q4,-72,ND,ND,-76,0,0,4,0,0,0,-36,0,-4,0,-4,0,-12,0,0,-56,ND,ND,-1880,692
1954:Q1,48,ND,ND,48,0,0,0,0,0,0,56,0,4,0,4,0,4,0,0,68,ND,ND,1244,68
1954:Q2,68,ND,ND,64,0,0,0,0,4,0,80,0,0,0,0,0,4,0,0,84,ND,ND,1704,200
1954:Q3,36,ND,ND,36,0,0,0,0,0,0,64,4,4,0,4,4,4,0,0,84,ND,ND,904,172
1954:Q4,-48,ND,ND,-52,0,0,0,4,0,0,-164,-4,0,20,8,0,4,0,0,-136,ND,ND,-1184,56
1955:Q1,48,ND,ND,48,0,0,0,0,0,0,72,4,4,0,4,0,4,0,0,88,ND,ND,1252,56
1955:Q2,80,ND,ND,72,0,4,0,0,4,0,96,0,4,0,0,0,4,0,0,104,ND,ND,2100,16
1955:Q3,60,ND,ND,56,4,0,0,0,0,0,68,4,0,4,4,0,4,0,0,84,ND,ND,1532,-44
1955:Q4,-60,ND,ND,-60,0,0,0,0,0,0,-120,-4,0,12,4,0,-4,0,0,-112,ND,ND,-1592,760
1956:Q1,92,ND,ND,88,0,0,4,0,0,0,88,4,0,0,4,0,4,0,0,100,ND,ND,2344,372
1956:Q2,108,ND,ND,100,0,0,0,4,4,0,80,0,4,0,0,4,0,0,0,88,ND,ND,2792,444
1956:Q3,132,ND,ND,132,0,0,0,0,0,0,60,4,4,4,0,0,4,0,0,76,ND,ND,3444,440
1956:Q4,-32,ND,ND,-32,0,0,0,0,0,0,-32,-4,-8,-8,-4,-4,-16,0,0,-76,ND,ND,-776,-328
1957:Q1,100,ND,ND,96,4,0,0,0,0,0,28,4,0,0,4,4,4,0,0,44,ND,ND,2540,216
1957:Q2,196,ND,ND,188,0,0,0,4,4,0,44,0,4,0,0,0,4,0,0,52,ND,ND,5084,260
1957:Q3,72,ND,ND,72,0,0,0,0,0,0,8,0,0,4,0,0,4,0,0,16,ND,ND,1884,72
1957:Q4,12,ND,ND,8,0,4,0,0,0,0,76,0,-16,-20,-16,-4,-4,0,0,16,ND,ND,260,72
1958:Q1,52,ND,ND,40,0,0,4,4,4,0,68,4,4,0,0,0,0,0,0,76,ND,ND,1368,360
1958:Q2,100,ND,ND,100,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,80,ND,ND,2596,392
1958:Q3,60,ND,ND,60,0,0,0,0,0,0,72,4,0,0,0,0,0,0,0,76,ND,ND,1568,368
1958:Q4,-32,ND,ND,-40,4,0,0,0,4,0,-184,-4,8,20,20,4,-16,0,0,-152,ND,ND,-808,-728
1959:Q1,88,ND,ND,84,0,0,0,4,0,0,108,0,0,0,0,0,0,0,0,108,ND,ND,2248,516
1959:Q2,124,ND,ND,124,0,0,0,0,0,0,124,4,4,0,0,0,4,0,0,136,ND,ND,3192,656
1959:Q3,80,ND,ND,76,0,0,0,0,4,0,92,4,4,0,4,0,0,0,0,104,ND,ND,2104,504
1959:Q4,-80,ND,ND,-88,0,0,4,4,0,0,-132,-4,-4,0,0,0,-8,0,0,-148,ND,ND,-2056,-724
1960:Q1,92,ND,ND,88,0,4,0,0,0,0,72,4,0,4,0,0,4,0,0,84,ND,ND,2296,416
1960:Q2,56,ND,ND,52,0,0,0,0,4,0,40,0,4,0,4,4,8,0,0,60,ND,ND,1116,292
1960:Q3,56,ND,ND,48,4,0,0,4,0,0,76,0,4,0,0,0,4,0,0,84,ND,ND,1684,364
1960:Q4,252,ND,ND,248,0,0,0,0,4,0,4,4,4,16,12,-4,-8,0,0,28,ND,ND,6664,188
1961:Q1,116,ND,ND,116,0,0,0,0,0,0,60,0,4,0,4,4,8,0,0,80,ND,ND,2984,380
1961:Q2,112,ND,ND,104,0,0,4,4,0,0,88,4,0,4,0,0,0,0,0,96,ND,ND,2564,448
1961:Q3,124,ND,ND,120,0,0,0,0,4,0,44,0,4,0,0,0,4,0,0,52,ND,ND,3384,220
1961:Q4,60,ND,ND,56,0,0,0,4,0,0,-104,4,20,48,44,0,20,0,0,32,ND,ND,1684,196
1962:Q1,80,ND,ND,68,4,4,0,0,4,0,32,0,4,4,0,4,4,0,0,48,ND,ND,2028,220
1962:Q2,112,ND,ND,108,0,0,0,4,0,0,76,0,0,0,0,0,4,0,0,80,ND,ND,2496,380
1962:Q3,100,ND,ND,96,0,0,0,0,4,0,44,4,4,0,0,0,4,0,0,56,ND,ND,2848,228
1962:Q4,156,ND,ND,148,0,0,4,4,0,0,196,0,-20,-20,-16,-4,-32,0,0,104,ND,ND,4032,556
1963:Q1,144,ND,ND,140,0,0,0,0,4,0,52,0,4,4,0,0,0,0,0,60,ND,ND,3816,276
1963:Q2,144,ND,ND,132,4,0,0,4,4,0,116,0,0,-4,0,0,0,0,0,112,ND,ND,3496,516
1963:Q3,100,ND,ND,100,0,0,0,0,0,0,92,4,0,4,0,0,0,0,0,100,ND,ND,2912,448
1963:Q4,152,ND,ND,140,0,4,0,4,4,0,-144,0,12,20,20,0,12,0,0,-80,ND,ND,3708,-316
1964:Q1,124,ND,ND,116,0,0,4,0,4,0,68,4,0,0,0,0,0,0,0,72,ND,ND,3276,340
1964:Q2,156,ND,ND,152,0,0,0,4,0,0,92,0,0,0,0,4,0,0,0,96,ND,ND,3864,444
1964:Q3,148,ND,ND,136,4,0,0,4,4,0,44,4,4,0,0,0,0,0,0,52,ND,ND,4068,212
1964:Q4,156,ND,ND,152,0,0,0,0,4,0,-44,0,16,32,28,0,16,0,0,48,ND,ND,3824,292
1965:Q1,248,ND,ND,244,0,0,0,4,0,0,144,4,0,0,0,0,4,0,0,152,ND,ND,6600,720
1965:Q2,228,ND,ND,216,0,0,4,4,4,0,4,0,-4,0,0,0,-8,0,0,-8,ND,ND,5560,-88
1965:Q3,156,ND,ND,144,4,4,0,0,4,0,128,4,0,0,0,0,-8,0,0,124,ND,ND,4296,552
1965:Q4,148,ND,ND,176,-4,-4,-8,-4,-8,0,84,0,0,-4,-4,0,0,0,0,76,ND,ND,3588,472
1966:Q1,160,ND,ND,152,0,0,0,4,4,0,104,4,0,0,0,0,-4,0,0,104,ND,ND,4460,488
1966:Q2,240,ND,ND,228,0,0,4,4,4,0,84,0,0,4,4,0,4,0,0,96,ND,ND,5492,420
1966:Q3,188,ND,ND,184,4,0,0,0,0,0,-24,0,4,0,0,0,4,0,0,-16,ND,ND,5256,-128
1966:Q4,256,ND,ND,244,0,0,0,4,8,0,268,0,-16,-28,-24,-4,-28,0,0,168,ND,ND,6464,924
1967:Q1,216,ND,ND,204,4,4,0,0,4,0,156,4,0,4,4,4,0,0,0,172,ND,ND,4744,836
1967:Q2,140,ND,ND,128,0,4,4,4,0,0,176,4,4,0,0,0,-4,0,0,180,ND,ND,3856,832
1967:Q3,192,ND,ND,184,4,4,0,0,0,0,116,4,0,0,0,0,0,0,0,120,ND,ND,5436,540
1967:Q4,200,ND,ND,192,4,4,0,0,0,0,44,4,8,24,20,0,4,0,0,104,ND,ND,5188,584
1968:Q1,184,ND,ND,168,4,4,4,4,0,0,292,4,0,0,0,0,0,0,0,296,ND,ND,3924,1436
1968:Q2,212,ND,ND,204,4,4,0,0,0,0,112,4,4,0,0,0,0,0,0,120,ND,ND,4688,544
1968:Q3,260,ND,ND,248,4,4,0,0,4,0,92,4,4,0,4,4,8,0,0,116,ND,ND,6292,536
1968:Q4,164,ND,ND,168,0,0,0,0,-4,0,76,4,8,32,24,-4,-4,0,0,136,ND,ND,6272,716
1969:Q1,252,ND,ND,244,4,4,0,0,0,0,252,4,4,0,0,4,0,0,0,264,ND,ND,6224,1300
1969:Q2,300,ND,ND,280,4,8,4,0,4,0,180,4,4,0,4,0,4,0,0,196,ND,ND,6652,908
1969:Q3,268,ND,ND,256,8,4,0,0,0,0,196,8,4,4,0,4,0,0,0,216,ND,ND,6192,1032
1969:Q4,104,ND,ND,108,0,0,-4,0,0,0,508,4,-28,-28,-32,-8,-56,0,0,360,ND,ND,4768,1812
1970:Q1,348,ND,ND,328,8,8,4,0,0,0,492,4,4,0,4,0,0,0,0,504,ND,ND,7832,2480
1970:Q2,408,ND,ND,396,4,8,0,0,0,0,180,8,4,0,0,4,0,0,0,196,ND,ND,8576,904
1970:Q3,272,ND,ND,244,8,8,4,4,4,0,292,8,4,4,4,0,0,0,0,312,ND,ND,6872,1492
1970:Q4,152,ND,ND,156,4,4,-4,-4,-4,0,208,4,-4,8,4,-4,-20,0,0,196,ND,ND,7080,980
1971:Q1,-204,ND,ND,-220,4,8,4,0,0,0,164,4,4,0,4,4,4,0,0,184,ND,ND,-6612,900
1971:Q2,376,ND,ND,352,8,8,0,4,4,0,128,4,4,4,0,0,4,0,0,144,ND,ND,7796,700
1971:Q3,372,ND,ND,344,12,12,4,0,0,0,-268,4,8,0,4,4,8,0,0,-240,ND,ND,9232,-1168
1971:Q4,72,ND,ND,84,0,0,-4,-4,-4,0,36,0,28,68,56,0,28,0,0,216,ND,ND,5312,1036
1972:Q1,-444,ND,ND,-472,8,12,4,4,0,0,-188,4,4,0,4,0,4,0,0,-172,ND,ND,-13736,-836
1972:Q2,272,ND,ND,248,12,12,0,0,0,0,196,4,4,4,0,0,4,0,0,212,ND,ND,5924,1028
1972:Q3,340,ND,ND,308,8,12,4,4,4,0,312,4,4,0,0,4,0,0,0,324,ND,ND,9740,1568
1972:Q4,164,ND,ND,276,-24,-20,-16,-24,-28,0,204,4,32,76,64,0,40,0,0,420,ND,ND,6576,2040
1973:Q1,-2440,ND,ND,-2472,12,12,4,0,4,0,776,20,4,4,4,0,-20,0,0,788,ND,ND,-62788,3828
1973:Q2,452,ND,ND,420,12,16,0,4,0,0,944,32,16,4,4,8,-16,0,0,992,ND,ND,10764,4804
1973:Q3,324,ND,ND,284,16,16,4,0,4,0,388,24,16,4,8,4,-4,0,0,440,ND,ND,8636,2132
1973:Q4,400,ND,ND,436,-8,0,-4,-12,-12,0,-136,8,28,104,80,-4,8,0,0,88,ND,ND,10872,436
1974:Q1,-132,ND,ND,-172,16,20,0,4,0,0,1488,32,16,-64,8,4,-12,0,0,1472,ND,ND,-3600,7136
1974:Q2,332,ND,ND,288,16,20,4,0,4,0,420,32,56,-60,-56,0,52,0,0,444,ND,ND,7160,2156
1974:Q3,692,ND,ND,648,20,20,0,4,0,0,1300,32,60,-64,-52,0,52,0,0,1328,ND,ND,17540,6440
1974:Q4,516,ND,ND,468,16,24,4,0,4,0,668,28,88,-80,-140,-12,132,0,0,684,ND,ND,15108,3312
1975:Q1,640,ND,ND,592,20,24,4,0,0,0,96,-4,60,36,32,-4,12,0,0,228,ND,ND,16088,1112
1975:Q2,664,ND,ND,608,20,28,0,4,4,0,636,-4,4,36,32,4,12,0,0,720,ND,ND,15960,3480
1975:Q3,232,ND,ND,176,24,28,4,0,0,0,-8,-4,4,36,32,0,12,0,0,72,ND,ND,5980,344
1975:Q4,680,ND,ND,612,24,32,4,4,4,0,1088,-4,-48,40,32,4,16,0,0,1128,ND,ND,18948,5476
1976:Q1,628,ND,ND,568,24,32,4,0,0,0,1120,4,4,40,48,0,0,0,0,1216,ND,ND,15692,5884
1976:Q2,360,ND,ND,296,24,36,0,0,4,0,732,4,28,52,44,0,36,0,0,896,ND,ND,8068,4344
1976:Q3,512,ND,ND,444,24,36,4,4,0,0,664,0,24,52,44,4,36,0,0,824,ND,ND,13308,3996
1976:Q4,356,ND,ND,856,-148,-180,-48,-60,-64,0,824,-52,-44,-32,-44,-4,4,0,0,652,ND,ND,10728,3160
1977:Q1,320,ND,ND,236,32,44,4,4,0,0,644,-4,28,52,44,0,44,0,0,808,ND,ND,7520,3920
1977:Q2,624,ND,ND,540,32,44,4,0,4,0,672,0,28,24,20,0,52,0,0,796,ND,ND,15132,3860
1977:Q3,416,ND,ND,328,36,48,0,4,0,0,732,-4,28,24,16,0,48,0,0,844,ND,ND,11048,4092
1977:Q4,292,ND,ND,292,4,12,-4,-8,-4,0,844,4,-20,-96,-76,0,-28,0,0,628,ND,ND,13664,3044
1978:Q1,700,ND,ND,624,36,28,8,8,-4,0,1016,24,28,24,20,0,8,0,0,1120,ND,ND,19024,5424
1978:Q2,616,ND,ND,544,40,28,4,4,-4,0,1708,36,40,60,52,4,8,0,0,1908,ND,ND,14880,9252
1978:Q3,-900,ND,ND,-980,40,32,4,8,-4,0,1972,40,36,60,48,4,4,0,0,2164,ND,ND,9728,10480
1978:Q4,652,ND,ND,764,-24,-52,-8,-8,-20,0,1508,28,-28,-48,-40,0,-92,0,0,1328,ND,ND,19164,6432
1979:Q1,1848,ND,ND,1760,48,32,4,8,-4,0,924,88,120,156,52,4,-64,0,0,1280,ND,ND,22788,6216
1979:Q2,2172,ND,ND,2080,48,32,8,8,-4,0,2184,88,124,156,136,12,68,0,0,2768,ND,ND,29900,13416
1979:Q3,3064,ND,ND,2968,52,36,4,8,-4,0,2212,88,124,160,132,8,68,0,0,2792,ND,ND,30688,13528
