date,FU546000105.Q,FU545013005.Q,FU544090005.Q,FU543020005.Q,FU543034005.Q,FU542051075.Q,FU544022005.Q,FU543069105.Q,FU543061105.Q,FU543061705.Q,FU543062005.Q,FU543063005.Q,FU544023005.Q,FU543069005.Q,FU543065005.Q,FU543092375.Q,FU543064105.Q,FU543092173.Q,FU543092473.Q,FU543064205.Q,FU543040005.Q,FU543050005.Q,FU543070005.Q,FU543090005.Q,FU543094703.Q,FU543077073.Q,FU543095105.Q,FU543093005.Q,FU544194005.Q,FU544190005.Q,FU542151073.Q,FU543169373.Q,FU543192375.Q,FU543140005.Q,FU543150005.Q,FU543170005.Q,FU543178075.Q,FU543190005.Q,FU543194703.Q,FU673090543.Q,FU543195005.Q,FU593095005.Q,FU543193005.Q,FU543181105.Q,FU543164175.Q,FU543192173.Q,FU543194603.Q,FU547005005.Q,FU543200073.Q,FU543176015.Q,FU543176025.Q,FU543076035.Q,FU543176035.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,355,27,3531,-6,0,0,2743,0,1046,0,-108,1805,451,-68,519,-3,267,7,0,0,0,0,0,72,0,65,0,7,3332,3331,0,0,0,2635,400,0,-4,300,0,0,216,0,84,1,0,1,0,129,0,3055,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,195,34,3449,246,0,0,1420,0,-1595,0,-5,3020,1563,43,1520,5,150,-1,0,0,0,0,0,66,0,81,0,-15,3413,3420,0,0,8,2545,500,0,-20,387,0,0,116,0,271,-7,0,-7,0,125,0,3070,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,359,40,3626,-105,0,0,1268,0,-3228,0,263,4233,2278,120,2158,6,44,-2,0,0,0,0,0,137,0,51,0,86,3485,3496,0,0,13,2630,600,0,0,253,0,0,194,0,59,-11,0,-11,0,178,0,3276,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,397,44,3806,-7,0,0,1239,0,-1514,0,180,2573,2256,183,2073,4,226,0,0,0,0,0,0,88,0,69,0,19,3720,3725,0,0,7,2667,625,0,45,381,0,0,223,0,158,-5,0,-5,0,267,0,3340,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,367,54,4141,97,0,0,109,0,-1812,0,100,1821,3369,173,3196,6,317,0,0,0,0,0,0,243,0,103,0,140,3693,3716,0,0,26,2636,775,0,29,250,0,0,238,0,12,-23,0,-23,0,-135,0,3448,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,406,52,3971,80,0,0,257,0,-2452,0,-10,2719,3389,177,3212,6,55,1,0,0,0,0,0,183,0,79,0,104,3970,3978,0,0,11,2555,975,0,57,380,0,0,259,0,121,-8,0,-8,0,353,0,3601,0,0,0
1952:Q1,142,12,1193,-70,0,0,545,0,-216,0,-9,770,612,37,575,0,62,0,0,0,0,0,0,44,0,19,0,25,1071,1071,0,0,0,653,270,0,32,116,0,0,68,0,48,0,0,0,0,7,0,939,0,0,0
1952:Q2,145,13,926,62,0,0,288,0,-455,0,-10,753,494,34,460,0,40,2,0,0,0,0,0,40,0,18,0,22,1137,1136,0,0,0,688,284,0,-17,181,0,0,68,0,113,1,0,1,0,344,0,987,0,0,0
1952:Q3,145,11,1387,-12,0,0,837,0,92,0,40,705,499,36,463,0,22,2,0,0,0,0,0,39,0,19,0,20,1190,1190,0,0,1,731,288,0,11,159,0,0,71,0,88,0,0,0,0,-63,0,1034,0,0,0
1952:Q4,143,12,1269,81,0,0,657,0,-203,0,-10,870,455,16,439,0,40,2,0,0,0,0,0,34,0,20,0,14,1205,1205,0,0,1,773,283,0,-10,158,0,0,87,0,71,0,0,0,0,67,0,1072,0,0,0
1953:Q1,140,12,1162,-156,0,0,717,0,-132,0,50,799,535,45,490,0,29,2,0,0,0,0,0,35,0,22,0,13,1199,1198,0,0,0,766,280,0,-10,162,0,0,92,0,70,1,0,1,0,166,0,1063,0,0,0
1953:Q2,140,12,1144,-42,0,0,564,0,-30,0,15,579,560,48,512,0,29,2,0,0,0,0,0,31,0,23,0,8,1161,1159,0,0,0,742,279,0,-14,152,0,0,100,0,52,2,0,2,0,146,0,1040,0,0,0
1953:Q3,149,12,1149,82,0,0,491,0,-103,0,40,554,527,44,483,0,14,2,0,0,0,0,0,33,0,24,0,9,1141,1140,0,0,1,713,280,0,35,111,0,0,101,0,10,1,0,1,0,129,0,1012,0,0,0
1953:Q4,159,12,1552,185,0,0,656,0,-158,0,40,774,650,64,586,1,21,3,0,0,0,0,0,36,0,23,0,13,1145,1142,0,0,-1,687,286,0,71,99,0,0,98,0,1,3,0,3,0,-260,0,989,0,0,0
1954:Q1,166,14,1191,-155,0,0,695,0,-109,0,165,639,553,58,495,0,53,2,0,0,0,0,0,43,0,21,0,22,1174,1173,0,0,1,705,288,0,-46,225,0,0,93,0,132,1,0,1,0,135,0,1006,0,0,0
1954:Q2,168,13,1288,41,0,0,416,0,-321,0,194,543,675,60,615,0,106,3,0,0,0,0,0,47,0,19,0,28,1211,1209,0,0,0,738,288,0,-45,228,0,0,90,0,138,2,0,2,0,77,0,1036,0,0,0
1954:Q3,171,14,1222,10,0,0,386,0,-261,0,134,513,703,52,651,0,71,3,0,0,0,0,0,49,0,21,0,28,1216,1215,0,0,1,769,294,0,28,123,0,0,91,0,32,1,0,1,0,151,0,1072,0,0,0
1954:Q4,184,14,1549,129,0,0,395,0,-68,0,55,408,936,43,893,0,40,2,0,0,0,0,0,47,0,26,0,21,1163,1163,0,0,2,789,305,0,15,52,0,0,100,0,-48,0,0,0,0,-216,0,1106,0,0,0
1955:Q1,171,16,1306,-179,0,0,567,0,66,0,138,363,853,61,792,0,19,3,0,0,0,0,0,43,0,30,0,13,1214,1213,0,0,1,781,322,0,6,103,0,0,107,0,-4,1,0,1,0,63,0,1117,0,0,0
1955:Q2,171,17,1189,28,0,0,306,0,-50,0,0,356,787,37,750,0,25,3,0,0,0,0,0,40,0,34,0,6,1260,1258,0,0,0,761,341,0,-33,189,0,0,116,0,73,2,0,2,0,225,0,1119,0,0,0
1955:Q3,171,19,1422,71,0,0,489,0,78,0,32,379,801,42,759,0,15,3,0,0,0,0,0,43,0,37,0,6,1295,1294,0,0,1,757,341,0,42,153,0,0,117,0,36,1,0,1,0,25,0,1114,0,0,0
1955:Q4,167,19,1446,105,0,0,85,0,-588,0,22,651,1191,23,1168,0,6,3,0,0,0,0,0,56,0,40,0,16,1288,1287,0,0,1,771,321,0,24,170,0,0,110,0,60,1,0,1,0,-11,0,1106,0,0,0
1956:Q1,169,24,1180,-215,0,0,317,0,-499,0,155,661,1007,56,951,1,0,2,0,0,0,0,0,68,0,43,0,25,1299,1298,0,0,1,792,299,0,-18,224,0,0,109,0,115,1,0,1,0,264,0,1101,0,0,0
1956:Q2,171,24,1357,36,0,0,272,0,-123,0,-7,402,964,68,896,0,0,3,0,0,0,0,0,82,0,48,0,34,1268,1267,0,0,0,819,271,0,-50,227,0,0,104,0,123,1,0,1,0,58,0,1097,0,0,0
1956:Q3,200,25,1462,-2,0,0,522,0,-120,0,65,577,856,36,820,0,0,3,0,0,0,0,0,83,0,49,0,34,1244,1243,0,0,0,805,280,0,90,68,0,0,102,0,-34,1,0,1,0,-43,0,1092,0,0,0
1956:Q4,200,25,1472,197,0,0,255,0,-279,0,22,512,946,69,877,0,-2,3,0,0,0,0,0,73,0,47,0,26,1236,1234,0,0,-1,751,325,0,18,141,0,0,110,0,31,2,0,2,0,-61,0,1089,0,0,0
1957:Q1,189,24,1208,-207,0,0,568,0,-77,0,16,629,766,76,690,0,13,3,0,0,0,0,0,65,0,45,0,20,1223,1223,0,0,1,698,368,0,-1,157,0,0,116,0,41,0,0,0,0,180,0,1085,0,0,0
1957:Q2,162,24,1215,68,0,0,498,0,-130,0,33,595,585,83,502,0,0,3,0,0,0,0,0,61,0,46,0,15,1193,1192,0,0,0,645,411,0,-76,212,0,0,122,0,90,1,0,1,0,117,0,1082,0,0,0
1957:Q3,163,24,1364,8,0,0,671,0,-59,0,26,704,602,88,514,0,22,3,0,0,0,0,0,58,0,44,0,14,1209,1208,0,0,0,637,421,0,39,111,0,0,120,0,-9,1,0,1,0,-17,0,1083,0,0,0
1957:Q4,168,24,1364,142,0,0,512,0,-260,0,28,744,644,103,541,0,8,4,0,0,0,0,0,54,0,39,0,15,1288,1283,0,0,-4,671,400,0,40,176,0,0,111,0,65,5,0,5,0,68,0,1087,0,0,0
1958:Q1,152,22,1252,-122,0,0,743,0,58,0,84,601,558,101,457,1,19,2,0,0,0,0,0,51,0,34,0,17,1308,1307,0,0,0,714,375,0,123,95,0,0,103,0,-8,1,0,1,0,186,0,1097,0,0,0
1958:Q2,158,21,1195,40,0,0,667,0,-12,0,74,605,424,88,336,0,19,4,0,0,0,0,0,41,0,26,0,15,1352,1352,0,0,0,764,351,0,-87,324,0,0,94,0,230,0,0,0,0,294,0,1114,0,0,0
1958:Q3,172,21,1405,7,0,0,853,0,220,0,79,554,476,67,409,0,20,3,0,0,0,0,0,46,0,28,0,18,1320,1320,0,0,0,778,363,0,35,144,0,0,93,0,51,0,0,0,0,66,0,1140,0,0,0
1958:Q4,176,22,1584,149,0,0,664,17,-112,50,68,641,687,63,624,0,20,4,0,0,0,0,0,60,0,38,0,22,1182,1187,0,0,5,761,411,0,13,-3,0,0,97,0,-100,-5,0,-5,0,-248,0,1178,0,0,0
1959:Q1,155,29,1229,-148,0,0,768,107,29,11,147,474,484,85,399,0,44,4,0,0,0,0,0,77,0,48,0,29,1258,1258,0,0,0,769,468,0,32,-11,0,0,104,0,-115,0,0,0,0,156,0,1253,0,0,0
1959:Q2,163,30,1440,-12,0,0,837,91,16,13,163,554,482,94,388,0,36,3,0,0,0,0,0,94,0,57,0,37,1319,1318,0,0,0,771,534,0,-41,54,0,0,104,0,-50,1,0,1,0,12,0,1328,0,0,0
1959:Q3,172,31,1261,-48,0,0,487,-15,-45,8,157,382,671,107,564,0,50,4,0,0,0,0,0,97,0,59,0,38,1443,1443,0,0,1,833,527,0,79,3,0,0,110,0,-107,0,0,0,0,323,0,1385,0,0,0
1959:Q4,164,32,1543,151,0,0,311,-82,-315,-10,52,666,928,144,784,1,62,3,0,0,0,0,0,87,0,54,0,33,1580,1579,0,0,0,939,446,0,16,178,0,0,117,0,61,1,0,1,0,170,0,1405,0,0,0
1960:Q1,181,29,1281,-182,0,0,462,19,-40,1,84,398,876,168,708,0,42,4,0,0,0,0,0,79,0,51,0,28,1544,1543,0,0,0,918,371,0,-58,312,0,0,132,0,180,1,0,1,0,415,0,1308,0,0,0
1960:Q2,171,30,1327,61,0,0,333,39,-254,27,73,448,793,180,613,0,64,4,0,0,0,0,0,72,0,50,0,22,1407,1406,0,0,1,859,302,0,-39,283,0,0,145,0,138,1,0,1,0,221,0,1179,0,0,0
1960:Q3,178,30,1477,-5,0,0,571,73,3,5,153,337,704,146,558,0,131,4,0,0,0,0,0,72,0,48,0,24,1265,1263,0,0,0,750,284,0,46,183,0,0,149,0,34,2,0,2,0,-64,0,1051,0,0,0
1960:Q4,160,30,1659,147,0,0,503,45,-150,-4,78,534,814,119,695,0,115,4,0,0,0,0,0,76,0,43,0,33,1148,1149,0,0,3,625,318,0,35,168,0,0,144,0,24,-1,0,-1,0,-380,0,960,0,0,0
1961:Q1,177,30,1471,-98,0,0,680,66,116,-10,105,403,692,142,550,0,111,4,0,0,0,0,0,82,0,38,0,44,1244,1243,0,0,1,667,341,0,6,228,0,0,154,0,74,1,0,1,0,-80,0,1023,0,0,0
1961:Q2,189,31,1477,38,0,0,527,-36,-135,-10,35,673,770,150,620,1,51,3,0,0,0,0,0,87,0,31,0,56,1408,1407,0,0,0,771,353,0,-67,350,0,0,152,0,198,1,0,1,0,90,0,1137,0,0,0
1961:Q3,200,31,1515,39,0,0,728,8,20,22,80,598,551,111,440,0,107,4,0,0,0,0,0,86,0,30,0,56,1518,1517,0,0,0,899,356,0,22,240,0,0,156,0,84,1,0,1,0,172,0,1269,0,0,0
1961:Q4,201,32,1723,83,0,0,442,-139,-294,7,80,788,921,99,822,0,196,5,0,0,0,0,0,76,0,34,0,42,1485,1495,0,0,11,1017,350,0,7,110,0,0,160,0,-50,-10,0,-10,0,-70,0,1383,0,0,0
1962:Q1,202,30,1534,-173,0,0,1020,320,173,11,151,365,518,115,403,0,91,4,0,4,0,0,0,70,0,37,0,33,1521,1520,0,0,0,1003,341,0,109,67,0,0,171,0,-104,1,0,1,0,158,0,1362,0,0,0
1962:Q2,197,31,1580,-6,0,0,664,8,-28,-6,-15,705,660,147,513,0,187,5,0,10,0,0,0,60,0,38,0,22,1478,1477,0,0,0,957,329,0,-66,257,0,0,186,0,71,1,0,1,0,64,0,1304,0,0,0
1962:Q3,206,32,1651,76,0,0,785,122,52,27,49,535,680,129,551,0,39,5,0,7,0,0,0,59,0,39,0,20,1494,1493,0,0,0,879,338,0,42,234,0,0,178,0,56,1,0,1,0,17,0,1238,0,0,0
1962:Q4,205,33,1999,168,0,0,321,-296,-161,-37,-47,862,1342,110,1232,1,91,3,0,4,0,0,0,69,0,41,0,28,1602,1597,0,0,-4,803,367,0,-31,462,0,0,145,0,317,5,0,5,0,-225,0,1195,0,0,0
1963:Q1,242,27,1550,-227,0,0,849,252,-148,-5,3,747,739,114,625,0,107,5,0,0,0,0,0,77,0,44,0,33,1521,1520,0,0,0,924,391,0,173,32,0,0,110,0,-78,1,0,1,0,186,0,1345,0,0,0
1963:Q2,210,29,1552,16,0,0,478,-112,-276,18,-90,938,910,124,786,0,63,5,0,-5,0,0,0,85,0,47,0,38,1570,1570,0,0,0,989,411,0,-161,331,0,0,74,0,257,0,0,0,0,199,0,1435,0,0,0
1963:Q3,186,30,1900,104,0,0,655,132,95,3,-63,488,988,95,893,0,64,5,0,-3,0,0,0,87,0,48,0,39,1658,1658,0,0,0,1062,429,0,-9,176,0,0,69,0,107,0,0,0,0,-86,0,1528,0,0,0
1963:Q4,165,32,2029,116,0,0,379,-239,-28,18,-24,652,1426,88,1338,0,17,5,0,3,0,0,0,83,0,47,0,36,1738,1743,0,0,5,1131,444,0,-9,172,0,0,94,0,78,-5,0,-5,0,-157,0,1609,0,0,0
1964:Q1,193,45,1753,-172,0,0,695,126,-25,-18,-9,621,1033,122,911,1,97,4,0,16,0,0,0,79,0,45,0,34,1733,1733,0,0,0,1056,464,0,104,109,0,0,111,0,-2,0,0,0,0,128,0,1554,0,0,0
1964:Q2,196,46,1768,-15,0,0,412,-209,-73,15,-41,720,1168,134,1034,0,96,5,0,27,0,0,0,75,0,43,0,32,1774,1773,0,0,0,1063,486,0,-64,288,0,0,119,0,169,1,0,1,0,156,0,1582,0,0,0
1964:Q3,219,47,1996,35,0,0,569,76,125,3,20,345,1153,118,1035,0,132,6,0,24,0,0,0,77,0,45,0,32,1819,1818,0,0,0,1083,498,0,82,155,0,0,132,0,23,1,0,1,0,-6,0,1614,0,0,0
1964:Q4,236,48,2366,174,0,0,204,-125,-246,-10,-48,633,1739,111,1628,0,134,5,0,20,0,0,0,90,0,53,0,37,1828,1834,0,0,7,1110,502,0,-4,219,0,0,148,0,71,-6,0,-6,0,-351,0,1647,0,0,0
1965:Q1,215,55,2032,-202,0,0,755,226,45,7,-28,505,1294,129,1165,0,70,6,0,9,0,0,0,100,0,58,0,42,1936,1935,0,0,0,1067,587,0,14,267,0,0,166,0,101,1,0,1,0,64,0,1690,0,0,0
1965:Q2,239,57,1853,-7,0,0,426,105,-281,15,-72,659,1180,150,1030,1,131,4,0,6,0,0,0,112,0,63,0,49,2024,2025,0,0,0,1199,504,0,-83,405,0,0,185,0,220,-1,0,-1,0,353,0,1739,0,0,0
1965:Q3,237,60,2320,17,0,0,770,162,-60,28,-79,719,1208,142,1066,0,209,6,0,-6,0,0,0,116,0,68,0,48,2024,2025,0,0,0,1239,477,0,51,258,0,0,195,0,63,-1,0,-1,0,-119,0,1755,0,0,0
1965:Q4,225,64,2576,207,0,0,238,-448,-179,-12,-65,942,1717,117,1600,-2,290,8,0,-1,0,0,0,119,0,75,0,44,1936,1937,0,0,-1,1186,507,0,-2,247,0,0,196,0,51,-1,0,-1,0,-480,0,1738,0,0,0
1966:Q1,246,54,2234,-430,0,0,1260,-7,52,24,9,1182,1402,183,1219,0,39,6,0,4,0,0,0,-47,0,82,0,-129,1658,1659,0,0,0,1144,521,0,104,-110,0,0,200,0,-310,-1,0,-1,0,-384,0,1710,0,0,0
1966:Q2,241,56,1773,24,0,0,121,-67,-250,41,-173,570,1589,312,1277,1,44,5,0,9,0,0,0,-20,0,90,0,-110,2115,2114,0,0,1,1113,521,0,-99,578,0,0,206,0,372,1,0,1,0,527,0,1684,0,0,0
1966:Q3,248,58,1992,62,0,0,334,79,-69,9,-46,361,1540,484,1056,0,56,6,0,20,0,0,0,-26,0,93,0,-119,2295,2293,0,0,0,1131,525,0,29,608,0,0,211,0,397,2,0,2,0,493,0,1709,0,0,0
1966:Q4,262,59,2625,388,0,0,326,82,69,-5,-60,240,1504,460,1044,0,95,6,0,1,0,0,0,305,0,91,0,214,1913,1905,0,0,-6,1197,533,0,26,155,0,0,214,0,-59,8,0,8,0,-510,0,1782,0,0,0
1967:Q1,230,64,2702,-239,0,0,935,173,-66,1,-43,870,1139,279,860,0,149,8,0,-4,0,0,0,714,0,77,0,637,1922,1921,0,0,1,1241,316,0,211,152,0,0,229,0,-77,1,0,1,0,-614,0,1636,0,0,0
1967:Q2,256,65,2103,76,0,0,779,312,-165,5,-60,687,931,274,657,1,261,8,0,10,0,0,0,37,0,71,0,-34,1872,1871,0,0,0,1213,356,0,-322,624,0,0,215,0,409,1,0,1,0,-40,0,1637,0,0,0
1967:Q3,266,64,2301,47,0,0,1262,273,27,-4,-28,994,711,190,521,0,241,9,0,4,0,0,0,27,0,69,0,-42,2126,2125,0,0,0,1222,374,0,31,498,0,0,216,0,282,1,0,1,0,27,0,1666,0,0,0
1967:Q4,262,66,2210,145,0,0,561,-658,-34,-8,16,1245,1068,199,869,0,343,8,0,13,0,0,0,72,0,71,0,1,2127,2131,0,0,5,1209,450,0,-31,498,0,0,224,0,274,-4,0,-4,0,113,0,1735,0,0,0
1968:Q1,249,67,2186,-412,0,0,1423,196,-5,36,30,1166,734,277,457,1,288,9,0,29,0,0,0,114,0,84,0,30,2130,2129,0,0,0,1200,559,0,162,208,0,0,240,0,-32,1,0,1,0,125,0,1838,0,0,0
1968:Q2,244,68,2060,61,0,0,661,-6,-231,-14,-2,914,809,361,448,0,398,9,0,-19,0,0,0,141,0,90,0,51,2096,2094,0,0,0,1192,574,0,-90,418,0,0,244,0,174,2,0,2,0,213,0,1843,0,0,0
1968:Q3,274,69,2341,209,0,0,890,131,81,11,-4,671,831,345,486,0,241,10,0,3,0,0,0,157,0,92,0,65,1964,1963,0,0,1,1197,383,0,76,306,0,0,250,0,56,1,0,1,0,-172,0,1660,0,0,0
1968:Q4,284,73,2830,248,0,0,658,-275,-72,31,25,949,1332,264,1068,0,384,9,0,33,0,0,0,166,0,89,0,77,2503,2507,0,0,6,1213,785,0,14,489,0,0,255,0,234,-4,0,-4,0,-115,0,2085,0,0,0
1969:Q1,229,70,2496,-335,0,0,1321,328,-117,23,36,1051,826,419,407,0,388,10,0,77,0,0,0,209,0,88,0,121,2269,2267,0,0,0,1226,667,0,163,211,0,0,257,0,-46,2,0,2,0,-68,0,1981,0,0,0
1969:Q2,230,73,1827,-130,0,0,166,-156,-210,28,-6,510,1112,636,476,1,349,10,0,106,0,0,0,213,0,88,0,125,2365,2363,0,0,1,1233,767,0,-170,532,0,0,262,0,270,2,0,2,0,695,0,2092,0,0,0
1969:Q3,225,77,2464,62,0,0,629,321,-41,37,0,312,1331,821,510,0,170,10,0,100,0,0,0,162,0,90,0,72,2391,2388,0,0,0,1247,779,0,87,275,0,0,271,0,4,3,0,3,0,75,0,2127,0,0,0
1969:Q4,235,79,2660,355,0,0,241,346,36,8,-3,-146,1302,643,659,-1,417,12,0,98,0,0,0,236,0,120,0,116,2601,2590,0,0,-8,1266,907,0,-25,450,0,0,287,0,163,11,0,11,0,97,0,2287,0,0,0
1970:Q1,259,86,2865,-157,0,0,889,350,-44,58,14,511,1365,719,646,1,472,10,0,88,0,0,0,197,0,104,0,93,2302,2300,0,0,1,1272,653,0,186,188,0,0,306,0,-118,2,0,2,0,-389,0,2057,0,0,0
1970:Q2,266,88,2162,-96,0,0,279,-60,-66,-3,-6,414,1201,647,554,0,291,11,0,282,0,0,0,194,0,107,0,87,2280,2278,0,0,0,1263,651,0,-198,562,0,0,327,0,235,2,0,2,0,297,0,2066,0,0,0
1970:Q3,279,88,2510,49,0,0,1256,864,133,43,43,173,867,512,355,1,132,10,0,2,0,0,0,193,0,109,0,84,2411,2410,0,0,1,1305,719,0,99,286,0,0,332,0,-46,1,0,1,0,92,0,2180,0,0,0
1970:Q4,340,86,2360,328,0,0,-43,-377,-105,44,34,361,1154,361,793,-1,728,13,0,-11,0,0,0,192,0,110,0,82,2695,2694,0,0,1,1394,860,0,38,401,0,0,320,0,81,1,0,1,0,589,0,2397,0,0,0
1971:Q1,324,91,3528,-209,0,0,2001,876,-38,7,8,1148,390,232,158,1,1227,11,0,-104,0,0,0,211,0,88,0,123,2966,2965,0,0,1,1482,1050,0,125,307,0,0,333,0,-26,1,0,1,0,-329,0,2647,0,0,0
1971:Q2,332,94,2626,-67,0,0,1397,661,-282,0,25,993,211,235,-24,0,919,12,0,-71,0,0,0,225,0,76,0,149,3197,3194,0,0,0,1566,1187,0,-133,574,0,0,319,0,255,3,0,3,0,810,0,2851,0,0,0
